user_id,is_treated,send_date,msg_type
U00001,1,2025-08-15,benefit
U00002,1,2025-08-15,nostalgia
U00003,1,2025-08-15,nostalgia
U00004,0,,none
U00005,0,,none
U00006,0,,none
U00007,1,2025-08-15,nostalgia
U00008,1,2025-08-15,nostalgia
U00009,0,,none
U00010,1,2025-08-15,benefit
U00011,0,,none
U00012,0,,none
U00013,0,,none
U00014,0,,none
U00015,0,,none
U00016,1,2025-08-15,nostalgia
U00017,0,,none
U00018,0,,none
U00019,0,,none
U00020,0,,none
U00021,1,2025-08-15,benefit
U00022,0,,none
U00023,1,2025-08-15,benefit
U00024,0,,none
U00025,0,,none
U00026,0,,none
U00027,1,2025-08-15,nostalgia
U00028,1,2025-08-15,benefit
U00029,1,2025-08-15,nostalgia
U00030,0,,none
U00031,0,,none
U00032,1,2025-08-15,benefit
U00033,0,,none
U00034,0,,none
U00035,0,,none
U00036,1,2025-08-15,nostalgia
U00037,1,2025-08-15,nostalgia
U00038,1,2025-08-15,benefit
U00039,0,,none
U00040,0,,none
U00041,1,2025-08-15,benefit
U00042,1,2025-08-15,nostalgia
U00043,1,2025-08-15,nostalgia
U00044,0,,none
U00045,1,2025-08-15,nostalgia
U00046,1,2025-08-15,nostalgia
U00047,1,2025-08-15,benefit
U00048,0,,none
U00049,0,,none
U00050,1,2025-08-15,nostalgia
U00051,0,,none
U00052,0,,none
U00053,1,2025-08-15,benefit
U00054,0,,none
U00055,1,2025-08-15,benefit
U00056,0,,none
U00057,0,,none
U00058,0,,none
U00059,0,,none
U00060,1,2025-08-15,benefit
U00061,1,2025-08-15,benefit
U00062,1,2025-08-15,benefit
U00063,1,2025-08-15,benefit
U00064,0,,none
U00065,1,2025-08-15,benefit
U00066,1,2025-08-15,benefit
U00067,0,,none
U00068,1,2025-08-15,benefit
U00069,1,2025-08-15,nostalgia
U00070,1,2025-08-15,benefit
U00071,0,,none
U00072,1,2025-08-15,nostalgia
U00073,1,2025-08-15,benefit
U00074,1,2025-08-15,benefit
U00075,1,2025-08-15,nostalgia
U00076,1,2025-08-15,nostalgia
U00077,1,2025-08-15,nostalgia
U00078,0,,none
U00079,1,2025-08-15,benefit
U00080,1,2025-08-15,nostalgia
U00081,1,2025-08-15,nostalgia
U00082,1,2025-08-15,nostalgia
