user_id,gender,age,pay_level,region
U00001,F,19,0,경기
U00002,F,21,1,서울
U00003,M,31,0,경기
U00004,M,31,0,기타
U00005,M,29,0,경기
U00006,M,32,1,기타
U00007,F,29,0,기타
U00008,F,31,0,경기
U00009,F,29,1,서울
U00010,F,24,2,기타
U00011,M,27,3,기타
U00012,F,28,0,서울
U00013,M,31,0,경기
U00014,M,33,0,경기
U00015,F,32,0,경기
U00016,F,46,0,서울
U00017,M,21,2,경기
U00018,M,39,0,경기
U00019,F,22,0,기타
U00020,M,40,1,서울
U00021,M,32,0,경기
U00022,F,29,2,서울
U00023,M,21,0,기타
U00024,F,30,1,서울
U00025,F,25,0,경기
U00026,F,38,1,서울
U00027,M,28,0,경기
U00028,F,22,1,기타
U00029,M,38,1,기타
U00030,F,28,2,서울
U00031,M,33,1,기타
U00032,F,20,0,기타
U00033,F,34,0,기타
U00034,F,29,0,경기
U00035,F,26,0,경기
U00036,F,30,0,경기
U00037,M,25,0,서울
U00038,F,34,1,기타
U00039,M,36,0,기타
U00040,F,28,2,기타
U00041,M,42,0,경기
U00042,M,35,0,서울
U00043,M,31,0,기타
U00044,M,22,1,서울
U00045,F,19,0,기타
U00046,M,24,2,기타
U00047,M,31,0,경기
U00048,M,25,1,서울
U00049,M,32,0,기타
U00050,M,34,1,기타
U00051,F,31,0,기타
U00052,F,30,1,기타
U00053,F,34,1,서울
U00054,F,32,0,경기
U00055,M,32,1,서울
U00056,F,33,0,경기
U00057,F,31,0,서울
U00058,F,24,1,기타
U00059,F,30,2,서울
U00060,M,32,1,경기
U00061,F,29,2,기타
U00062,M,28,1,서울
U00063,F,25,0,경기
U00064,M,28,1,경기
U00065,F,25,0,기타
U00066,M,34,0,경기
U00067,M,33,1,기타
U00068,M,22,0,서울
U00069,F,18,2,서울
U00070,F,30,0,서울
U00071,F,28,1,경기
U00072,M,27,1,기타
U00073,F,31,1,기타
U00074,M,42,1,경기
U00075,M,31,1,경기
U00076,F,32,0,서울
U00077,M,29,0,기타
U00078,M,36,2,경기
U00079,M,34,0,서울
U00080,F,41,1,경기
U00081,F,24,1,서울
U00082,M,32,0,기타
U00083,M,28,3,기타
U00084,F,28,2,서울
U00085,M,20,1,서울
U00086,M,21,0,경기
U00087,M,34,1,경기
U00088,F,39,1,서울
U00089,M,35,0,경기
U00090,M,33,1,기타
U00091,F,27,0,서울
U00092,F,25,2,기타
U00093,M,35,0,경기
U00094,F,37,1,경기
U00095,M,36,2,기타
U00096,M,21,1,서울
U00097,F,28,0,서울
U00098,F,19,0,기타
U00099,M,40,1,서울
U00100,F,20,0,서울
U00101,F,26,1,경기
U00102,M,37,0,경기
U00103,M,29,0,서울
U00104,F,23,0,서울
U00105,M,32,0,기타
U00106,F,29,3,서울
U00107,F,25,1,경기
U00108,M,30,3,서울
U00109,F,35,0,기타
U00110,F,29,2,경기
U00111,M,34,1,서울
U00112,M,31,0,서울
U00113,M,24,0,경기
U00114,M,25,0,서울
U00115,F,36,0,기타
U00116,F,32,1,서울
U00117,M,39,0,서울
U00118,M,18,0,경기
U00119,M,29,1,기타
U00120,M,30,0,경기
U00121,M,28,0,서울
U00122,M,30,2,기타
U00123,F,24,0,서울
U00124,F,25,0,서울
U00125,M,31,1,기타
U00126,M,19,1,서울
U00127,M,26,0,서울
U00128,F,33,2,서울
U00129,M,28,0,서울
U00130,M,36,2,기타
U00131,M,28,2,서울
U00132,M,26,0,경기
U00133,M,18,0,기타
U00134,M,26,0,경기
U00135,F,27,0,서울
U00136,M,36,0,기타
U00137,M,24,0,기타
U00138,F,24,0,기타
U00139,F,33,2,경기
U00140,M,33,0,경기
U00141,M,45,0,기타
U00142,M,28,0,기타
U00143,F,35,2,기타
U00144,M,34,0,서울
U00145,F,25,2,기타
U00146,M,26,0,경기
U00147,M,23,0,경기
U00148,F,26,0,경기
U00149,M,32,0,기타
U00150,M,38,1,서울
U00151,F,26,2,서울
U00152,M,24,1,서울
U00153,M,28,1,서울
U00154,F,31,0,경기
U00155,M,33,2,서울
U00156,F,22,1,서울
U00157,F,26,1,경기
U00158,F,19,2,경기
U00159,M,26,1,경기
U00160,F,22,2,경기
U00161,F,30,0,경기
U00162,F,27,1,경기
U00163,M,35,1,기타
U00164,F,38,0,서울
U00165,M,31,1,기타
U00166,M,32,1,기타
U00167,M,35,0,서울
U00168,F,38,1,서울
U00169,M,27,1,서울
U00170,M,24,1,경기
U00171,F,25,0,서울
U00172,F,36,0,기타
U00173,M,23,1,서울
U00174,M,35,0,서울
U00175,M,27,0,서울
U00176,M,26,0,기타
U00177,M,23,0,경기
U00178,M,36,3,기타
U00179,F,24,1,기타
U00180,M,39,1,경기
U00181,M,28,0,경기
U00182,M,28,0,기타
U00183,M,33,3,서울
U00184,M,26,0,서울
U00185,M,23,0,경기
U00186,F,27,0,서울
U00187,F,25,0,경기
U00188,F,30,3,기타
U00189,F,35,0,서울
U00190,M,23,0,서울
U00191,M,31,3,경기
U00192,F,41,2,서울
U00193,M,29,2,서울
U00194,F,19,1,서울
U00195,M,32,1,기타
U00196,M,25,0,서울
U00197,F,18,0,기타
U00198,F,26,0,기타
U00199,F,28,2,경기
U00200,M,30,1,기타
U00201,M,19,2,경기
U00202,F,28,0,서울
U00203,F,23,0,서울
U00204,M,22,0,기타
U00205,M,30,0,경기
U00206,F,21,0,경기
U00207,M,33,1,서울
U00208,F,26,2,경기
U00209,F,23,0,서울
U00210,M,33,1,기타
U00211,F,18,0,서울
U00212,F,31,1,서울
U00213,M,37,1,서울
U00214,F,26,0,서울
U00215,M,30,1,서울
U00216,F,31,1,서울
U00217,M,27,0,기타
U00218,M,25,1,기타
U00219,F,30,0,기타
U00220,F,22,0,경기
U00221,M,41,3,경기
U00222,M,33,0,서울
U00223,M,32,1,경기
U00224,M,41,1,경기
U00225,F,36,1,서울
U00226,M,29,0,서울
U00227,M,24,2,경기
U00228,M,33,1,경기
U00229,M,35,0,서울
U00230,M,37,1,기타
U00231,F,38,1,기타
U00232,F,27,3,서울
U00233,M,27,1,서울
U00234,M,23,0,경기
U00235,F,28,1,기타
U00236,M,26,0,서울
U00237,F,34,1,서울
U00238,M,32,0,서울
U00239,M,28,3,기타
U00240,F,30,1,기타
U00241,F,32,2,서울
U00242,M,33,3,기타
U00243,F,31,1,서울
U00244,F,32,1,경기
U00245,M,32,1,경기
U00246,M,30,0,서울
U00247,M,30,0,경기
U00248,M,22,0,경기
U00249,M,20,1,서울
U00250,M,38,0,기타
U00251,F,30,0,기타
U00252,F,34,0,서울
U00253,M,24,0,경기
U00254,F,26,0,기타
U00255,M,41,0,서울
U00256,F,22,1,기타
U00257,F,30,0,서울
U00258,F,28,0,서울
U00259,F,20,0,기타
U00260,F,21,0,서울
U00261,M,30,0,기타
U00262,F,34,1,서울
U00263,M,38,0,서울
U00264,F,31,1,서울
U00265,M,30,0,서울
U00266,M,28,0,경기
U00267,M,30,2,경기
U00268,F,22,0,경기
U00269,F,30,0,서울
U00270,F,26,1,서울
U00271,F,36,3,기타
U00272,M,28,2,경기
U00273,M,33,2,서울
U00274,M,28,0,서울
U00275,M,33,3,서울
U00276,M,36,1,서울
U00277,F,22,1,경기
U00278,F,28,0,경기
U00279,M,45,2,기타
U00280,M,23,0,경기
U00281,F,31,2,서울
U00282,F,29,1,서울
U00283,M,35,0,경기
U00284,F,34,0,서울
U00285,F,32,0,서울
U00286,M,30,1,서울
U00287,F,26,2,서울
U00288,F,36,0,기타
U00289,M,34,2,기타
U00290,F,24,0,기타
U00291,M,37,1,서울
U00292,M,21,2,서울
U00293,F,23,0,기타
U00294,M,34,0,경기
U00295,F,44,0,경기
U00296,M,23,1,기타
U00297,M,26,0,경기
U00298,F,22,0,기타
U00299,M,21,2,서울
U00300,M,23,0,기타
U00301,F,27,1,서울
U00302,M,30,2,기타
U00303,F,34,0,서울
U00304,F,35,1,경기
U00305,F,33,1,경기
U00306,M,24,1,기타
U00307,M,39,1,경기
U00308,M,25,0,서울
U00309,F,25,1,서울
U00310,M,28,2,서울
U00311,M,31,2,서울
U00312,M,27,0,서울
U00313,F,28,0,경기
U00314,M,35,2,서울
U00315,M,36,1,서울
U00316,M,19,0,기타
U00317,F,30,0,기타
U00318,M,23,1,기타
U00319,M,35,0,서울
U00320,F,26,1,서울
U00321,F,18,0,기타
U00322,M,28,3,경기
U00323,F,37,0,기타
U00324,F,29,0,경기
U00325,M,31,1,기타
U00326,F,21,0,서울
U00327,M,25,0,경기
U00328,M,33,2,기타
U00329,F,47,0,기타
U00330,F,34,1,서울
U00331,M,22,0,경기
U00332,F,34,2,경기
U00333,M,25,2,서울
U00334,F,39,0,서울
U00335,M,34,3,서울
U00336,M,20,0,경기
U00337,M,37,0,기타
U00338,F,24,1,서울
U00339,F,31,1,기타
U00340,M,21,0,기타
U00341,F,45,0,서울
U00342,M,26,1,기타
U00343,M,43,0,서울
U00344,M,19,3,서울
U00345,F,27,1,경기
U00346,F,38,1,기타
U00347,F,26,1,서울
U00348,F,26,2,기타
U00349,M,18,0,기타
U00350,F,38,0,기타
U00351,M,35,0,서울
U00352,M,33,0,경기
U00353,F,30,1,경기
U00354,F,30,0,서울
U00355,M,32,0,서울
U00356,M,32,0,경기
U00357,F,28,0,기타
U00358,M,38,0,기타
U00359,M,32,0,서울
U00360,F,37,1,서울
U00361,M,31,0,기타
U00362,M,26,1,서울
U00363,F,20,0,기타
U00364,F,20,3,서울
U00365,F,35,0,기타
U00366,M,28,1,경기
U00367,F,36,0,서울
U00368,M,33,2,기타
U00369,M,36,2,기타
U00370,M,22,0,기타
U00371,M,28,0,경기
U00372,M,36,2,경기
U00373,M,22,1,경기
